smiles,Mol ID,canonical_smiles
CCCOC1=CC=C(C2=NC(C(=O)N3CCC(C4=NNC(N)=N4)C3)=CS2)C=C1,MOL_1,CCCOc1ccc(-c2nc(C(=O)N3CCC(c4n[nH]c(N)n4)C3)cs2)cc1
CN(C)C1=CC=CC(C2=CSC(C3=CC=C(CNC(=O)C4=CSC(N)=N4)C=C3)=N2)=C1,MOL_2,CN(C)c1cccc(-c2csc(-c3ccc(CNC(=O)c4csc(N)n4)cc3)n2)c1
COC1=CC=CC(C2=NC(C(=O)N3CCOC(CNC4=CC=CN=N4)C3)=CS2)=C1OC,MOL_3,COc1cccc(-c2nc(C(=O)N3CCOC(CNc4cccnn4)C3)cs2)c1OC
N#Cc1n[nH]c2nc(-c3cc(N)cc(Cl)c3)ccc12,MOL_4,N#Cc1n[nH]c2nc(-c3cc(N)cc(Cl)c3)ccc12
COC1=CC(CNC2=CC(C3=NOC(C(F)F)=N3)=CC=C2)=NC(C(=O)O)=C1,MOL_5,COc1cc(CNc2cccc(-c3noc(C(F)F)n3)c2)nc(C(=O)O)c1
CC1=NC2=CC(C(=O)N3CCO[C@@H](C4=CN(CC5=CC(C6=CC=CC=C6)=NN5)N=N4)C3)=CC=C2S1,MOL_6,Cc1nc2cc(C(=O)N3CCO[C@@H](c4cn(Cc5cc(-c6ccccc6)n[nH]5)nn4)C3)ccc2s1
COC1=CC=CC=C1C(C)N1C=C(C2=CC=C3C=NNC3=C2)N=N1,MOL_7,COc1ccccc1C(C)n1cc(-c2ccc3cn[nH]c3c2)nn1
CC1=CC=C(C2=NOC(C3=CSC(C4=CN=CN4)=N3)=N2)N=N1,MOL_8,Cc1ccc(-c2noc(-c3csc(-c4cnc[nH]4)n3)n2)nn1
O=[N+]([O-])C1=CC=C(C2=CSC(C3=CC=C4COCCC4=C3)=N2)C=C1,MOL_9,O=[N+]([O-])c1ccc(-c2csc(-c3ccc4c(c3)CCOC4)n2)cc1
O=C(O)CCC1=NC(C2=CC(C3=CC=C4OCCC4=C3)=CS2)=NO1,MOL_10,O=C(O)CCc1nc(-c2cc(-c3ccc4c(c3)CCO4)cs2)no1
COC1=NC(C)=CC(C)=C1CN(C)C1=NC2=CC=CN=C2C(NC(C)C2=CC=CC=C2N)=N1,MOL_11,COc1nc(C)cc(C)c1CN(C)c1nc(NC(C)c2ccccc2N)c2ncccc2n1
FC1=NC(C2=C3C=CC=NC3=CC=C2Cl)=CS1,MOL_12,Fc1nc(-c2c(Cl)ccc3ncccc23)cs1
NC(=O)C1=CC(C2=CSC(NC(=O)C3=CC(NCC4=CC=CC=C4)=CC=N3)=N2)=CN1,MOL_13,NC(=O)c1cc(-c2csc(NC(=O)c3cc(NCc4ccccc4)ccn3)n2)c[nH]1
FC1=CN=C(C2=CN(C3=CC=C4OCCC4=C3)N=N2)N=C1,MOL_14,Fc1cnc(-c2cn(-c3ccc4c(c3)CCO4)nn2)nc1
CCOC(=O)C1CCN(C(=O)C2=CC=C(NC(=O)C3=CSC(C4=CN=CN4)=N3)C=C2)CC1,MOL_15,CCOC(=O)C1CCN(C(=O)c2ccc(NC(=O)c3csc(-c4cnc[nH]4)n3)cc2)CC1
COC1=CC=CN=C1C(C)NC1=NC2=CC(C)=CC=C2C(NC(C)CCC2=CN(C)N=C2)=N1,MOL_16,COc1cccnc1C(C)Nc1nc(NC(C)CCc2cnn(C)c2)c2ccc(C)cc2n1
COC(=O)C1=CC=C2NC=C(C3=CSC(C4=NN(C)C=C4)=N3)C2=C1,MOL_17,COC(=O)c1ccc2[nH]cc(-c3csc(-c4ccn(C)n4)n3)c2c1
CC1=NN2N=CC=CC2=C1C(=O)NC(C)C1=NC(C2=CNC3=NC=C(Br)C=C23)=CS1,MOL_18,Cc1nn2ncccc2c1C(=O)NC(C)c1nc(-c2c[nH]c3ncc(Br)cc23)cs1
CN(C)C(=O)CN1C=C(NC(=O)C2=CSC(C3=CC(Br)=CS3)=N2)C=N1,MOL_19,CN(C)C(=O)Cn1cc(NC(=O)c2csc(-c3cc(Br)cs3)n2)cn1
COC1=CC=CC2=C1NN=C2C1=NC(C2=CC=CC(NC(=O)CC3CC3)=C2)=NO1,MOL_20,COc1cccc2c(-c3nc(-c4cccc(NC(=O)CC5CC5)c4)no3)n[nH]c12
CC1=CC=C2NC(C(=O)N3CCO[C@@H](C4=CN(CC5=CC(C)=NN5C)N=N4)C3)=CC(=O)C2=C1,MOL_21,Cc1ccc2[nH]c(C(=O)N3CCO[C@@H](c4cn(Cc5cc(C)nn5C)nn4)C3)cc(=O)c2c1
CC1=CC(C2=CSC(C3=NC=C(N)N=C3)=N2)=C(C)S1,MOL_22,Cc1cc(-c2csc(-c3cnc(N)cn3)n2)c(C)s1
COC(=O)CCCC1CN(C(=O)C2=CC(NC(=O)C3=NN(C)C=C3)=CC=C2)CCO1,MOL_23,COC(=O)CCCC1CN(C(=O)c2cccc(NC(=O)c3ccn(C)n3)c2)CCO1
CC1=CN(CC(=O)N2CCCC(C3=NC(C4=CC5=CC=CC=C5OC4=O)=CS3)C2)N=C1,MOL_24,Cc1cnn(CC(=O)N2CCCC(c3nc(-c4cc5ccccc5oc4=O)cs3)C2)c1
CN1CCN(C2=CN=CC(NNC(=O)C3=CSC(C4=CC=C(O)C=C4)=N3)=N2)CC1,MOL_25,CN1CCN(c2cncc(NNC(=O)c3csc(-c4ccc(O)cc4)n3)n2)CC1
O=C1CCC2=C(C=C(F)C(C3=CSC(C4=NN=CN4)=N3)=C2)N1,MOL_26,O=C1CCc2cc(-c3csc(-c4nnc[nH]4)n3)c(F)cc2N1
CC1=CC=C2N=C(C3=NC(C4=NN=C(N)O4)=NO3)C=CC2=C1,MOL_27,Cc1ccc2nc(-c3nc(-c4nnc(N)o4)no3)ccc2c1
FC(F)(F)CN1C=CN=C1C=CC1=NC(C2=CC=CC=C2)=CS1,MOL_28,FC(F)(F)Cn1ccnc1C=Cc1nc(-c2ccccc2)cs1
CN(C)C(=O)C1=CC=CC(NC(=O)C2=CSC(C3=CC=NN3C)=N2)=C1O,MOL_29,CN(C)C(=O)c1cccc(NC(=O)c2csc(-c3ccnn3C)n2)c1O
CC(C)C1=NC=C(C2=CN(CC3CN(C(=O)C4=NN(C5=CC=CC=C5F)C=CC4=O)CCO3)N=N2)O1,MOL_30,CC(C)c1ncc(-c2cn(CC3CN(C(=O)c4nn(-c5ccccc5F)ccc4=O)CCO3)nn2)o1
C1=CC(OC2CCC2)=NC(C2=CNC3=NC=CC=C23)=C1,MOL_31,c1cc(OC2CCC2)nc(-c2c[nH]c3ncccc23)c1
CC[C@H]1CN(C(=O)CC2=CC=CC(C3=CN(CC4=NC(C(=O)O)=CS4)N=N3)=C2)CCO1,MOL_32,CC[C@H]1CN(C(=O)Cc2cccc(-c3cn(Cc4nc(C(=O)O)cs4)nn3)c2)CCO1
COc1ccc(-c2cc(O)nc(C)n2)cc1N,MOL_33,COc1ccc(-c2cc(O)nc(C)n2)cc1N
C=C(C)CNC1=NC(C2=CNC3=C2C=CC=C3CC)=CS1,MOL_34,C=C(C)CNc1nc(-c2c[nH]c3c(CC)cccc23)cs1
CS(=O)(=O)C1=CC(Br)=CC(C(=O)NC2=CC=C(C3=CSC(N)=N3)C=C2)=C1,MOL_35,CS(=O)(=O)c1cc(Br)cc(C(=O)Nc2ccc(-c3csc(N)n3)cc2)c1
CCCNC(=O)C1CN(C(=O)C2=C3C=NN(C(C)C)C3=NC(C3=CC=CC=C3C)=C2)CCO1,MOL_36,CCCNC(=O)C1CN(C(=O)c2cc(-c3ccccc3C)nc3c2cnn3C(C)C)CCO1
COC1=CC(NCC2=CC=CC(C3=NOC(=O)N3)=C2)=C2C=CC=CC2=N1,MOL_37,COc1cc(NCc2cccc(-c3noc(=O)[nH]3)c2)c2ccccc2n1
CC1CN(C2=NC(CC(C)(C)NC(=O)C3=NC=C(C4=CC=NN4C)N=C3)=CS2)CCO1,MOL_38,CC1CN(c2nc(CC(C)(C)NC(=O)c3cnc(-c4ccnn4C)cn3)cs2)CCO1
CC1CCN(C2=CC=C(CNC(=O)C3=CSC(C4=CN(C)N=C4)=N3)C=C2)CC1,MOL_39,CC1CCN(c2ccc(CNC(=O)c3csc(-c4cnn(C)c4)n3)cc2)CC1
CCN1N=C(C)C(C2=CSC(C3=CC=CC4=CC=CC=C34)=N2)=N1,MOL_40,CCn1nc(C)c(-c2csc(-c3cccc4ccccc34)n2)n1
COC1=CC=CN=C1C(C)NC1=C2C(C)=C(C)SC2=NC(C2=CC=CN=C2)=N1,MOL_41,COc1cccnc1C(C)Nc1nc(-c2cccnc2)nc2sc(C)c(C)c12
CC1=C(C)NC(=O)C(C(=O)N2CCO[C@@H](C3=CN(CC4=CC(F)=CC=C4)N=N3)C2)=N1,MOL_42,Cc1nc(C(=O)N2CCO[C@@H](c3cn(Cc4cccc(F)c4)nn3)C2)c(=O)[nH]c1C
CC1=CC(C2=NOC(C3=CSC(Br)=N3)=N2)=C2C=CC=NC2=C1C,MOL_43,Cc1cc(-c2noc(-c3csc(Br)n3)n2)c2cccnc2c1C
O=C(NC1=NC2=CC=CC=C2N1)C1=CC=NC(N2CCC3=NC(Cl)=CC(Cl)=C3C2)=C1,MOL_44,O=C(Nc1nc2ccccc2[nH]1)c1ccnc(N2CCc3nc(Cl)cc(Cl)c3C2)c1
CCOC1=CC=C(C(=O)NC(C)C2CN(C(=O)C3=CC=NC4=C3C=CN4)CCO2)C=N1,MOL_45,CCOc1ccc(C(=O)NC(C)C2CN(C(=O)c3ccnc4[nH]ccc34)CCO2)cn1
CC1CN(C(=O)C2=CC(C(=O)O)=CC(OCC3=CN(CC4=NC=CC=N4)N=N3)=C2)CCO1,MOL_46,CC1CN(C(=O)c2cc(OCc3cn(Cc4ncccn4)nn3)cc(C(=O)O)c2)CCO1
COC1=CC=C2N=CC(NC(=O)C3=CSC(C4=CC=C(C)N4C)=N3)=CC2=C1,MOL_47,COc1ccc2ncc(NC(=O)c3csc(-c4ccc(C)n4C)n3)cc2c1
CN1C=C(C2=CN(C3CC4CCC(C3)N4C(=O)CC3=CC=C4OCCC4=C3)N=N2)C=N1,MOL_48,Cn1cc(-c2cn(C3CC4CCC(C3)N4C(=O)Cc3ccc4c(c3)CCO4)nn2)cn1
